source_file,sheet_name,rule_type,max_row,max_column,header_row,headers_json,field_mapping_json,sample_rows_json
国家医保智能监管两库_官方公开附件_截至2026-07-10/第三批-1_药品限工伤保险.xlsx,“药品限工伤保险”知识点对应药品代码,insurance_type_limit,89,4,2,"[""对应知识点序号"", ""药品通用名"", ""序号"", ""药品代码""]","{""item_name"": [""药品通用名""], ""item_code"": [""药品代码""]}","[[""1"", ""疤痕止痒软化膏"", ""1"", ""ZH01AAB0066010100716""], ["""", """", ""2"", ""ZH01AAB0066010102577""], ["""", """", ""3"", ""ZH01AAB0066020100716""], [""2"", ""疤痕止痒软化乳膏"", ""1"", ""ZH01AAB0067010102021""], ["""", """", ""2"", ""ZH01AAB0067020102021""]]"
国家医保智能监管两库_官方公开附件_截至2026-07-10/第三批-2_药品限生育保险.xlsx,“药品限生育保险”规则对应知识点明细,insurance_type_limit,8,5,4,"[""序号"", ""药品通用名"", ""检出逻辑"", ""逻辑依据（2024版国家药品目录备注）"", ""知识点对应              药品代码数量""]","{""item_name"": [""药品通用名""], ""rule_condition"": [""逻辑依据（2024版国家药品目录备注）""], ""item_code"": [""知识点对应              药品代码数量""]}","[[""1"", ""地诺前列酮栓"", ""参保人险种非生育保险"", ""限生育保险"", ""1""], [""2"", ""卡前列素氨丁三醇注射液"", ""参保人险种非生育保险"", ""限生育保险"", ""22""], [""3"", ""益母草注射液"", ""参保人险种非生育保险"", ""限生育保险"", ""4""], [""合计"", """", """", """", ""27""]]"
国家医保智能监管两库_官方公开附件_截至2026-07-10/第三批-2_药品限生育保险.xlsx,“药品限生育保险”知识点对应药品代码,insurance_type_limit,31,4,2,"[""对应知识点序号"", ""药品通用名"", ""序号"", ""药品代码""]","{""item_name"": [""药品通用名""], ""item_code"": [""药品代码""]}","[[""1"", ""地诺前列酮栓"", ""1"", ""XG02ADD082D003010179504""], [""2"", ""卡前列素氨丁三醇注射液"", ""1"", ""XG02ADK026B002010100568""], ["""", """", ""2"", ""XG02ADK026B002010101329""], ["""", """", ""3"", ""XG02ADK026B002010101389""], ["""", """", ""4"", ""XG02ADK026B002010101598""]]"
国家医保智能监管两库_官方公开附件_截至2026-07-10/第九批_药品限二线使用.xlsx,“药品限二线使用”规则对应知识点明细,second_line_drug_limit,115,5,3,"[""序号"", ""药品通用名"", ""检出逻辑"", ""逻辑依据（2025版国家药品目录备注）"", ""知识点对应药品代码数量""]","{""item_name"": [""药品通用名""], ""rule_condition"": [""逻辑依据（2025版国家药品目录备注）""], ""item_code"": [""知识点对应药品代码数量""]}","[[""1"", ""阿可替尼胶囊"", ""使用了该药品，但没有一线药品使用无效或不能耐受的证据。"", ""限：1.既往至少接受过一种治疗的成人慢性淋巴细胞白血病(CLL)/小淋巴细胞淋巴瘤(SLL)患者；2.既往至少接受过一种治疗的成人套细胞淋巴瘤(MCL)患者。"", ""1""], [""2"", ""艾拉莫德片"", ""使用了该药品，但没有一线药品使用无效或不能耐受的证据。"", ""限活动性类风湿关节炎患者的二线治疗。"", ""20""], [""3"", ""艾帕洛利托沃瑞利单抗注射液"", ""使用了该药品，但没有一线药品使用无效或不能耐受的证据。"", ""限既往接受含铂化疗治疗失败的复发或转移性宫颈癌患者。"", ""1""], [""4"", ""艾普拉唑肠溶片"", ""使用了该药品，但没有一线药品使用无效或不能耐受的证据。"", ""限有十二指肠溃疡、反流性食管炎诊断患者的二线用药。"", ""6""], [""5"", ""艾曲泊帕乙醇胺片"", ""使用了该药品，但没有一线药品使用无效或不能耐受的证据。"", ""限：1.既往对糖皮质激素、免疫球蛋白等治疗反应不佳的成人和6岁及以上儿童慢性免疫性(特发性)血小板减少症(ITP)患者；2.既往对免疫抑制治疗缓解不充分的重型再生障碍性贫血(SAA)患者。"", ""24""]]"
国家医保智能监管两库_官方公开附件_截至2026-07-10/第九批_药品限二线使用.xlsx,"""药品限二线使用“知识点对应药品代码",second_line_drug_limit,605,16384,4,"[""对应知识点序号"", ""药品通用名"", ""序号"", ""药品代码"", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """"]","{""item_name"": [""药品通用名""], ""item_code"": [""药品代码""]}","[[""1"", ""阿可替尼胶囊"", ""1"", ""XL01ELA387E001010184513"", """", """", """", """", """", """", """", """"], [""2"", ""艾拉莫德片"", ""1"", ""XM01AXA267A001010101522"", """", """", """", """", """", """", """", """"], ["""", """", ""2"", ""XM01AXA267A001010101749"", """", """", """", """", """", """", """", """"], ["""", """", ""3"", ""XM01AXA267A001010105849"", """", """", """", """", """", """", """", """"], ["""", """", ""4"", ""XM01AXA267A001010109568"", """", """", """", """", """", """", """", """"]]"
国家医保智能监管两库_官方公开附件_截至2026-07-10/第五批_药品限医疗机构级别.xlsx,“药品限医疗机构级别”规则对应知识点明细,institution_level_limit,66,5,4,"[""序号"", ""药品通用名"", ""检出逻辑"", ""逻辑依据（2024版国家药品目录备注）"", ""知识点对应  药品代码数量""]","{""item_name"": [""药品通用名""], ""rule_condition"": [""逻辑依据（2024版国家药品目录备注）""], ""item_code"": [""知识点对应  药品代码数量""]}","[[""1"", ""艾迪注射液"", ""使用药品的医疗机构级别低于限定级别"", ""限二级及以上医疗机构癌症患者。"", ""2""], [""2"", ""参附注射液"", ""使用药品的医疗机构级别低于限定级别"", ""限二级及以上医疗机构。"", ""5""], [""3"", ""参麦注射液"", ""使用药品的医疗机构级别低于限定级别"", ""限二级及以上医疗机构。"", ""57""], [""4"", ""参芪扶正注射液"", ""使用药品的医疗机构级别低于限定级别"", ""限二级及以上医疗机构癌症患者。"", ""2""], [""5"", ""喘可治注射液"", ""使用药品的医疗机构级别低于限定级别"", ""限二级及以上医疗机构的支气管炎哮喘患者。"", ""3""]]"
国家医保智能监管两库_官方公开附件_截至2026-07-10/第五批_药品限医疗机构级别.xlsx,“药品限医疗机构级别”知识点对应药品代码,institution_level_limit,966,4,2,"[""对应知识点序号"", ""药品通用名"", ""序号"", ""药品代码""]","{""item_name"": [""药品通用名""], ""item_code"": [""药品代码""]}","[[""1"", ""艾迪注射液"", ""1"", ""ZC01AAA0042010105549""], ["""", """", ""2"", ""ZC01AAA0042010305549""], [""2"", ""参附注射液"", ""1"", ""ZA05CAC0029010102312""], ["""", """", ""2"", ""ZA05CAC0029020102312""], ["""", """", ""3"", ""ZA05CAC0029030102312""]]"
国家医保智能监管两库_官方公开附件_截至2026-07-10/第八批-1_医疗服务项目限定频次.xlsx,“医疗服务项目限定频次”规则对应知识点明细,frequency_limit,73,7,4,"[""序号"", ""医疗服务项目名称"", ""单日上限数量"", ""检出逻辑"", ""逻辑依据 （国家医保局全国医疗服务项目单位）"", ""项目代码供参考 （国家医保局全国医疗服务项目）"", ""备注""]","{""item_name"": [""医疗服务项目名称""], ""item_code"": [""项目代码供参考 （国家医保局全国医疗服务项目）""], ""rule_condition"": [""备注""]}","[[""1"", ""门急诊留观诊查费"", ""1"", ""使用项目的数量总计超过上限数量"", ""日"", ""001102000040000"", ""各省依据国家项目代码，配置规则知识点中各省项目代码""], [""2"", ""住院诊查费"", ""1"", ""使用项目的数量总计超过上限数量"", ""日"", ""001102000050000"", ""各省依据国家项目代码，配置规则知识点中各省项目代码""], [""3"", ""急诊监护费"", ""1"", ""使用项目的数量总计超过上限数量"", ""日"", ""001103000010000"", ""各省依据国家项目代码，配置规则知识点中各省项目代码""], [""4"", ""病房取暖费"", ""1"", ""使用项目的数量总计超过上限数量"", ""日"", ""001107000010000"", ""各省依据国家项目代码，配置规则知识点中各省项目代码""], [""5"", ""病房空调降温费"", ""1"", ""使用项目的数量总计超过上限数量"", ""日"", ""001108000010000"", ""各省依据国家项目代码，配置规则知识点中各省项目代码""]]"
国家医保智能监管两库_官方公开附件_截至2026-07-10/第八批-2_医疗服务项目限年龄.xlsx,“医疗服务项目限年龄”规则对应知识点明细,age_limit,6,6,4,"[""序号"", ""医疗服务项目名称"", ""检出逻辑"", ""逻辑依据 （人社部发〔2016〕23号）"", ""项目代码供参考 （国家医保局全国医疗服务项目）"", ""备注""]","{""item_name"": [""医疗服务项目名称""], ""item_code"": [""项目代码供参考 （国家医保局全国医疗服务项目）""], ""rule_condition"": [""备注""]}","[[""1"", ""职业功能训练"", ""参保人年龄超出法定就业年龄限制"", ""限法定就业年龄段患者"", ""003402000320000"", ""各省依据国家项目代码，配置规则知识点中各省项目代码""], [""备注：对于涉及医疗服务项目的智能监管规则和知识点，依据国家医保局梳理的全国现行医疗服务项目设定，各省级医保部门应当根据本省份的医疗服务项目目录，参考国家局发布的相关知识点梳理，进行细化和本地化。"", """", """", """", """", """"]]"
国家医保智能监管两库_官方公开附件_截至2026-07-10/第八批-3_医疗服务项目限支付疗程.xlsx,“医疗服务项目限支付疗程”规则对应知识点明细,treatment_course_limit,17,6,4,"[""序号"", ""医疗服务项目名称"", ""检出逻辑"", ""逻辑依据 （人社部发〔2016〕23号）"", ""项目代码供参考 （国家医保局全国医疗服务项目）"", ""备注""]","{""item_name"": [""医疗服务项目名称""], ""item_code"": [""项目代码供参考 （国家医保局全国医疗服务项目）""], ""rule_condition"": [""备注""]}","[[""1"", ""手功能评定"", ""使用项目的日期总计超过限制天数"", ""总时间不超过90天，评定间隔时间不短于14天。"", ""003402000050000"", ""各省依据国家项目代码，配置规则知识点中各省项目代码""], [""2"", ""手功能评定(徒手)"", ""使用项目的日期总计超过限制天数"", ""总时间不超过90天，评定间隔时间不短于14天。"", ""003402000050100"", ""各省依据国家项目代码，配置规则知识点中各省项目代码""], [""3"", ""手功能评定(仪器)"", ""使用项目的日期总计超过限制天数"", ""总时间不超过90天，评定间隔时间不短于14天。"", ""003402000050200"", ""各省依据国家项目代码，配置规则知识点中各省项目代码""], [""4"", ""减重支持系统训练"", ""使用项目的日期总计超过限制天数"", ""支付不超过30天。"", ""003402000210000"", ""各省依据国家项目代码，配置规则知识点中各省项目代码""], [""5"", ""轮椅功能训练"", ""使用项目的日期总计超过限制天数"", ""支付不超过30天。"", ""003402000220000"", ""各省依据国家项目代码，配置规则知识点中各省项目代码""]]"
国家医保智能监管两库_官方公开附件_截至2026-07-10/第八批-4_医疗服务项目周期超频次.xlsx,“医疗服务项目周期超频次”规则对应知识点明细,frequency_limit,20,8,4,"[""序号"", ""医疗服务项目名称"", ""频次上限"", ""周期（天）"", ""检出逻辑"", ""逻辑依据"", ""项目代码供参考 （国家医保局全国医疗服务项目）"", ""备注""]","{""item_name"": [""医疗服务项目名称""], ""frequency"": [""频次上限"", ""周期（天）""], ""item_code"": [""项目代码供参考 （国家医保局全国医疗服务项目）""], ""rule_condition"": [""备注""]}","[[""1"", ""血清果糖胺测定"", ""1"", ""7"", ""在设定的周期内超出限定支付数量"", ""诊疗规范：血清果糖胺（糖化清蛋白）水平反映近2-3周的平均血糖水平。"", ""002503020020000"", ""各省依据国家项目代码，配置规则知识点中各省项目代码""], [""2"", ""糖化血红蛋白测定"", ""1"", ""15"", ""在设定的周期内超出限定支付数量"", ""诊疗规范：糖化血红蛋白水平反映近2-3个月的平均血糖水平。"", ""002503020030000"", ""各省依据国家项目代码，配置规则知识点中各省项目代码""], [""3"", ""糖化血红蛋白测定(色谱法)"", ""1"", ""15"", ""在设定的周期内超出限定支付数量"", ""诊疗规范：糖化血红蛋白水平反映近2-3个月的平均血糖水平。"", ""002503020030100"", ""各省依据国家项目代码，配置规则知识点中各省项目代码""], [""4"", ""糖化血红蛋白测定(各种免疫学方法)"", ""1"", ""15"", ""在设定的周期内超出限定支付数量"", ""诊疗规范：糖化血红蛋白水平反映近2-3个月的平均血糖水平。"", ""002503020030200"", ""各省依据国家项目代码，配置规则知识点中各省项目代码""], [""5"", ""平衡试验"", ""1"", ""14"", ""在设定的周期内超出限定支付数量"", ""评定间隔时间不短于14天。（人社部发〔2016〕23号）"", ""003104010220000"", ""各省依据国家项目代码，配置规则知识点中各省项目代码""]]"
国家医保智能监管两库_官方公开附件_截至2026-07-10/第六批_药品限支付疗程.xlsx,“药品限支付疗程”规则对应知识点明细,treatment_course_limit,35,5,4,"[""序号"", ""药品通用名"", ""检出逻辑"", ""逻辑依据（2024版国家药品目录备注）"", ""知识点对应              药品代码数量""]","{""item_name"": [""药品通用名""], ""rule_condition"": [""逻辑依据（2024版国家药品目录备注）""], ""item_code"": [""知识点对应              药品代码数量""]}","[[""1"", ""奥扎格雷氨丁三醇注射用浓溶液"", ""使用药品的日期总计超过限制天数"", ""限新发的急性血栓性脑梗死，支付不超过14天。"", ""2""], [""2"", ""奥扎格雷钠注射液"", ""使用药品的日期总计超过限制天数"", ""限新发的急性血栓性脑梗死，支付不超过14天。"", ""39""], [""3"", ""吡拉西坦注射液"", ""使用药品的日期总计超过限制天数"", ""限脑外伤所致的脑功能障碍患者，支付不超过14天。"", ""124""], [""4"", ""丁苯酞氯化钠注射液"", ""使用药品的日期总计超过限制天数"", ""限新发的急性缺血性脑卒中患者在发作48小时内开始使用，支付不超过14天。"", ""1""], [""5"", ""丁苯酞软胶囊"", ""使用药品的日期总计超过限制天数"", ""限新发的急性缺血性脑卒中患者在发作72小时内开始使用，支付不超过20天。"", ""5""]]"
国家医保智能监管两库_官方公开附件_截至2026-07-10/第六批_药品限支付疗程.xlsx,“药品限支付疗程”知识点对应药品代码,treatment_course_limit,1151,4,2,"[""对应知识点序号"", ""药品通用名"", ""序号"", ""药品代码""]","{""item_name"": [""药品通用名""], ""item_code"": [""药品代码""]}","[[""1"", ""奥扎格雷氨丁三醇注射用浓溶液"", ""1"", ""XB01AXA223B004010180963""], ["""", """", ""2"", ""XB01AXA223B004010280963""], [""2"", ""奥扎格雷钠注射液"", ""1"", ""XB01AXA223B002010100156""], ["""", """", ""2"", ""XB01AXA223B002010101157""], ["""", """", ""3"", ""XB01AXA223B002010101333""]]"
